,Survived,Age_treated,SibSp,Parch,Fare_treated,Sex,Pclass_2,Pclass_3,Embarked_Q,Embarked_S
0,0,22,1,0,7.25,0,False,True,False,True
1,1,38,1,0,71.2833,1,False,False,False,False
2,1,26,0,0,7.925,1,False,True,False,True
3,1,35,1,0,53.1,1,False,False,False,True
4,0,35,0,0,8.05,0,False,True,False,True
5,0,25,0,0,8.4583,0,False,True,True,False
6,0,54,0,0,51.8625,0,False,False,False,True
7,0,2,3,1,21.075,0,False,True,False,True
8,1,27,0,2,11.1333,1,False,True,False,True
9,1,14,1,0,30.0708,1,True,False,False,False
10,1,4,1,1,16.7,1,False,True,False,True
11,1,58,0,0,26.55,1,False,False,False,True
12,0,20,0,0,8.05,0,False,True,False,True
13,0,39,1,5,31.275,0,False,True,False,True
14,0,14,0,0,7.8542,1,False,True,False,True
15,1,55,0,0,16.0,1,True,False,False,True
16,0,2,4,1,29.125,0,False,True,True,False
17,1,30,0,0,13.0,0,True,False,False,True
18,0,31,1,0,18.0,1,False,True,False,True
19,1,25,0,0,7.225,1,False,True,False,False
20,0,35,0,0,26.0,0,True,False,False,True
21,1,34,0,0,13.0,0,True,False,False,True
22,1,15,0,0,8.0292,1,False,True,True,False
23,1,28,0,0,35.5,0,False,False,False,True
24,0,8,3,1,21.075,1,False,True,False,True
25,1,38,1,5,31.3875,1,False,True,False,True
26,0,25,0,0,7.225,0,False,True,False,False
27,0,19,3,2,263.0,0,False,False,False,True
28,1,25,0,0,7.8792,1,False,True,True,False
29,0,25,0,0,7.8958,0,False,True,False,True
30,0,40,0,0,27.7208,0,False,False,False,False
31,1,39,1,0,146.5208,1,False,False,False,False
32,1,25,0,0,7.75,1,False,True,True,False
33,0,66,0,0,10.5,0,True,False,False,True
34,0,28,1,0,82.1708,0,False,False,False,False
35,0,42,1,0,52.0,0,False,False,False,True
36,1,25,0,0,7.2292,0,False,True,False,False
37,0,21,0,0,8.05,0,False,True,False,True
38,0,18,2,0,18.0,1,False,True,False,True
39,1,14,1,0,11.2417,1,False,True,False,False
40,0,40,1,0,9.475,1,False,True,False,True
41,0,27,1,0,21.0,1,True,False,False,True
42,0,25,0,0,7.8958,0,False,True,False,False
43,1,3,1,2,41.5792,1,True,False,False,False
44,1,19,0,0,7.8792,1,False,True,True,False
45,0,25,0,0,8.05,0,False,True,False,True
